solver,grid_size,sudoku_number,evaluations,backtracks,time_taken,status
CDCL,9x9,43,1,0,0.30785608291625977,SATISFIABLE
CDCL,9x9,44,5,2,0.3195469379425049,SATISFIABLE
CDCL,9x9,45,17,7,0.3468899726867676,SATISFIABLE
CDCL,9x9,46,4,0,0.3124699592590332,SATISFIABLE
CDCL,9x9,47,1,0,0.3077538013458252,SATISFIABLE
CDCL,9x9,48,1,0,0.7376511096954346,SATISFIABLE
CDCL,9x9,49,10,4,0.3505377769470215,SATISFIABLE
CDCL,9x9,5,1,0,0.31023120880126953,SATISFIABLE
CDCL,9x9,50,12,5,0.6641499996185303,SATISFIABLE
CDCL,9x9,51,1,0,0.3237578868865967,SATISFIABLE
CDCL,9x9,52,1,0,0.3067028522491455,SATISFIABLE
CDCL,9x9,53,2,0,0.30914902687072754,SATISFIABLE
CDCL,9x9,54,1,0,0.3007810115814209,SATISFIABLE
CDCL,9x9,55,19,9,0.48280811309814453,SATISFIABLE
CDCL,9x9,56,23,11,0.3778212070465088,SATISFIABLE
CDCL,9x9,57,1,0,0.30380678176879883,SATISFIABLE
CDCL,9x9,58,1,0,0.3187699317932129,SATISFIABLE
CDCL,9x9,59,31,13,0.374586820602417,SATISFIABLE
CDCL,9x9,6,2,0,0.31063413619995117,SATISFIABLE
CDCL,9x9,60,25,12,0.42795801162719727,SATISFIABLE
CDCL,9x9,61,12,5,0.37278008460998535,SATISFIABLE
CDCL,9x9,62,1,0,0.3119349479675293,SATISFIABLE
CDCL,9x9,63,4,1,0.31207275390625,SATISFIABLE
CDCL,9x9,64,1,0,0.3084249496459961,SATISFIABLE
CDCL,9x9,65,1,0,0.3127753734588623,SATISFIABLE
CDCL,9x9,66,8,2,0.3273499011993408,SATISFIABLE
CDCL,9x9,67,1,0,0.31644678115844727,SATISFIABLE
CDCL,9x9,68,6,2,0.3197603225708008,SATISFIABLE
CDCL,9x9,69,1,0,0.3247342109680176,SATISFIABLE
CDCL,9x9,7,1,0,0.303607702255249,SATISFIABLE
CDCL,9x9,70,1,0,0.30356717109680176,SATISFIABLE
CDCL,9x9,71,60,28,0.5140700340270996,SATISFIABLE
CDCL,9x9,72,4,1,0.32912683486938477,SATISFIABLE
CDCL,9x9,73,4,0,0.3153512477874756,SATISFIABLE
CDCL,9x9,74,3,0,0.3073880672454834,SATISFIABLE
CDCL,9x9,75,1,0,0.3110678195953369,SATISFIABLE
CDCL,9x9,76,1,0,0.3064761161804199,SATISFIABLE
CDCL,9x9,77,1,0,0.31293702125549316,SATISFIABLE
CDCL,9x9,78,1,0,0.32048821449279785,SATISFIABLE
CDCL,9x9,79,32,15,0.3777501583099365,SATISFIABLE
CDCL,9x9,8,1,0,0.3139829635620117,SATISFIABLE
CDCL,9x9,80,2,0,0.3106229305267334,SATISFIABLE
CDCL,9x9,81,13,4,0.34501194953918457,SATISFIABLE
CDCL,9x9,82,13,5,0.3294379711151123,SATISFIABLE
CDCL,9x9,83,1,0,0.30349302291870117,SATISFIABLE
CDCL,9x9,84,5,1,0.31827521324157715,SATISFIABLE
CDCL,9x9,85,1,0,0.31264591217041016,SATISFIABLE
CDCL,9x9,86,7,3,0.3287501335144043,SATISFIABLE
CDCL,9x9,87,4,1,0.3161430358886719,SATISFIABLE
CDCL,9x9,88,1,0,0.3027799129486084,SATISFIABLE
CDCL,9x9,89,5,2,0.31265783309936523,SATISFIABLE
CDCL,9x9,9,1,0,0.3094747066497803,SATISFIABLE
CDCL,9x9,90,7,3,0.3107798099517822,SATISFIABLE
CDCL,9x9,91,8,3,0.32160305976867676,SATISFIABLE
CDCL,9x9,92,12,4,0.3332858085632324,SATISFIABLE
CDCL,9x9,93,11,4,0.33487391471862793,SATISFIABLE
CDCL,9x9,94,1,0,0.3044426441192627,SATISFIABLE
CDCL,9x9,95,1,0,0.3144550323486328,SATISFIABLE
CDCL,9x9,96,7,2,0.3238351345062256,SATISFIABLE
CDCL,9x9,97,2,0,0.31082582473754883,SATISFIABLE
CDCL,9x9,98,2,0,0.3113250732421875,SATISFIABLE
CDCL,9x9,99,4,1,0.31777000427246094,SATISFIABLE
DPLL,4x4,1,1,0,0.0015561580657958984,SATISFIABLE
DPLL,4x4,10,1,0,0.0013620853424072266,SATISFIABLE
DPLL,4x4,100,1,0,0.0013148784637451172,SATISFIABLE
DPLL,4x4,11,1,0,0.0013120174407958984,SATISFIABLE
